X,Y,DEPT_ID,STATION,ESN,ATY,COI,CID,AID,ANA,AAD,MCN,STA,SOD,DLU,MAILADD,MAILTOWN,MAILZIP,PARCEL_SBL,NAME,WEBLINK,ADDRESS
-73.79486387,41.53328036,39,EF4S,512,F,36027,132800,14008,EAST FISHKILL FIRE SUB STATION 4,175 TOWNSEND RD,EAST FISHKILL,NY,DCER,20040429,6 W HOOK RD,HOPEWELL JUNCTION,12533,2800-6455-00-742910,EAST FISHKILL FIRE SUB STATION 4,,175 TOWNSEND RD
-73.6469252,41.52917666,54,PA-2,532,F,36027,134089,14021,PAWLING FIRE DEPARTMENT ST. 2,338 ROUTE 292,PAWLING,NY,DCER,20040429,PO BOX 132,PAWLING,12564,4089-6855-02-790772,PAWLING FIRE DEPARTMENT ST. 2,,338 ROUTE 292
-73.71736495,41.53315309,39,EF2S,512,F,36027,132800,14008,EAST FISHKILL FIRE SUB STATION 2,26 MOUNTAIN TOP RD,EAST FISHKILL,NY,DCER,20040429,26 MOUNTAIN TOP RD,STORMVILLE,12582,2800-6655-02-865913,EAST FISHKILL FIRE SUB STATION 2,,26 MOUNTAIN TOP RD
-73.95077872,41.919725,61,RC-1,543,F,36027,135089,14027,RHINECLIFF FIRE DEPARTMENT,17 SHATZELL AV,RHINEBECK,NY,DCER,20040429,PO BOX 6,RHINECLIFF,12574,5089-6069-06-401964,RHINECLIFF FIRE DEPARTMENT,,17 SHATZELL AV
-73.85803671,41.71709325,32,AR-4,535,F,36027,134689,14002,ARLINGTON FIRE DEPARTMENT ST. 4,1075 DUTCHESS TRNPK,POUGHKEEPSIE,NY,DCER,20040429,1075 DUTCHESS TRNPK,POUGHKEEPSIE,12603,4689-6262-02-969592,ARLINGTON FIRE DEPARTMENT ST. 4,http://www.afd.org,1075 DUTCHESS TRNPK
-73.93544699,41.7066496,57,PK-HQ,502,F,36027,131300,14024,CITY OF POUGHKEEPSIE FIRE DEPARTMENT HDQRTS,18 N CLOVER ST,POUGHKEEPSIE CITY,NY,DCER,20040429,18 N CLOVER ST,POUGHKEEPSIE,12601,1300-6062-75-851200,CITY OF POUGHKEEPSIE FIRE DEPARTMENT HDQRTS,http://departments.firehouse.com/dept/Poughkeepsie4NY,18 N CLOVER ST
-73.91736962,41.70022461,57,PK-2,502,F,36027,131300,14024,CITY OF POUGHKEEPSIE FIRE DEPARTMENT ST. 2,532 MAIN ST,POUGHKEEPSIE CITY,NY,DCER,20040429,532 MAIN ST,POUGHKEEPSIE,12601,1300-6161-23-345962,CITY OF POUGHKEEPSIE FIRE DEPARTMENT ST. 2,,532 MAIN ST
-73.9128552,41.68705836,57,PK-4,502,F,36027,131300,14024,CITY OF POUGHKEEPSIE FIRE DEPARTMENT ST. 4,224 HOOKER AV,POUGHKEEPSIE CITY,NY,DCER,20040429,224 HOOKER AV,POUGHKEEPSIE,12601,1300-6161-56-477492,CITY OF POUGHKEEPSIE FIRE DEPARTMENT ST. 4,,224 HOOKER AV
-73.91417563,41.52845629,62,RM-1,518,F,36027,133089,14037,ROMBOUT FIRE DEPARTMENT ST. 1,901 MAIN ST,FISHKILL,NY,DCER,20040429,PO BOX 401,FISHKILL,12524,3089-6155-01-471708,ROMBOUT FIRE DEPARTMENT ST. 1,http://romboutfire.com,901 MAIN ST
-73.8792792,41.54347063,62,RM-2,518,F,36027,133089,14037,ROMBOUT FIRE DEPARTMENT ST. 2,501 CEDAR HILL RD,FISHKILL,NY,DCER,20040429,PO BOX 401,FISHKILL,12524,3089-6256-03-424262,ROMBOUT FIRE DEPARTMENT ST. 2,,501 CEDAR HILL RD
-73.55286243,41.84900868,31,AM-1,503,F,36027,132000,14001,AMENIA FIRE DEPARTMENT,36 MECHANIC ST,AMENIA,NY,DCER,20040429,PO BOX 166,AMENIA,12501,2000-7167-14-279456,AMENIA FIRE DEPARTMENT,http://departments.firehouse.com/dept/AmeniaNY,36 MECHANIC ST
-73.84415324,41.52263618,39,EF-4,512,F,36027,132800,14008,EAST FISHKILL FIRE ST. 4,6 W HOOK RD,EAST FISHKILL,NY,DCER,20040429,6 W HOOK RD,HOPEWELL JUNCTION,12533,2800-6355-00-395502,EAST FISHKILL FIRE ST. 4,,6 W HOOK RD
-73.9027071,41.82858829,64,SB-2,525,F,36027,133200,14029,STAATSBURGH FIRE DEPARTMENT ST. 2,159 S CROSS RD,HYDE PARK,NY,DCER,20040429,PO BOX 205,STAATSBURG,12580,3200-6166-02-725655,STAATSBURGH FIRE DEPARTMENT ST. 2,,159 S CROSS RD
-73.92913606,41.84806216,64,SB-1,525,F,36027,133200,14029,STAATSBURG FIRE DEPARTMENT ST. 1,47 OLD POST RD,HYDE PARK,NY,DCER,20040429,PO BOX 291,STAATSBURG,12580,3200-6067-04-994351,STAATSBURG FIRE DEPARTMENT ST. 1,,47 OLD POST RD
-73.90975066,41.78996262,63,RO-1,523,F,36027,133200,14028,ROOSEVELT FIRE DEPARTMENT ST. 1,9 CARDINAL RD,HYDE PARK,NY,DCER,20040429,9 CARDINAL RD,HYDE PARK,12538,3200-6165-04-535235,ROOSEVELT FIRE DEPARTMENT ST. 1,http://www.rfdco1.homestead.com,9 CARDINAL RD
-73.71644802,41.58032034,93,GHCF,,F,36027,132200,14713,GREENHAVEN CORRECTIONAL FACILITY,594 ROUTE 216,BEEKMAN,NY,DCER,20040429,594 ROUTE 216,STORMVILLE,12582,2200-6657-00-876642,GREENHAVEN CORRECTIONAL FACILITY,,594 ROUTE 216
-73.936245,41.65743361,97,IBM-P,,F,36027,134689,14452,IBM - POUGHKEEPSIE,2455 ROUTE 9,POUGHKEEPSIE,NY,DCER,20040429,2455 SOUTH RD,POUGHKEEPSIE,12601,4689-6060-04-840280,IBM - POUGHKEEPSIE,,2455 ROUTE 9
-73.87703326,41.62716374,92,CPFD,,F,36027,135689,14211,DUTCHESS COUNTY AIRPORT,58 GRIFFITH WAY,WAPPINGER,NY,DCER,20040429,58 GRIFFITH WAY,WAPPINGERS FALLS,12590,5689-6259-03-225301,DUTCHESS COUNTY AIRPORT,,58 GRIFFITH WAY
-73.91688196,41.6993135,81,AL-1,"502, 518",E,36027,131300,0,ALAMO AMBULANCE,10 S WHITE ST,POUGHKEEPSIE CITY,NY,DCER,20040429,10 S WHITE ST,POUGHKEEPSIE,12601,1300-6161-23-358956,ALAMO AMBULANCE,http://alamoems.com,10 S WHITE ST
