County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,X,Y
Dutchess,130749,Store,JAC,SBRJ INC,GULF MART,339,HOOKER AVE,,,POUGHKEEPSIE,NY,12603,1500,-73.903552,41.683851
Dutchess,720268,Store,JAC,SPEEDWAY LLC,SPEEDWAY #07598,2545,SOUTH RD,,,POUGHKEEPSIE,NY,12601,2000,-73.930132,41.662728
Dutchess,748973,Store,A,ROSYS QUINCENERAS INC,ROSYS QUINCENERAS,759,MAIN ST,,,POUGHKEEPSIE,NY,12601,1500,-73.903631,41.696476
Dutchess,131099,Store,JAC,CHESTNUT MARTS INC,CM - 3480 NORTH RD,3480,NORTH RD,,,POUGHKEEPSIE,NY,12601,3500,-73.932202,41.726269
Dutchess,720519,Store,JAC,SPEEDWAY LLC,SPEEDWAY #07674,3694,ALBANY POST RD,,,POUGHKEEPSIE,NY,12601,0,-73.930604,41.741296
Dutchess,130474,Store,JAC,ACTIVE BEVERAGE INC,ACTIVE BEVERAGE,481,MAIN ST,,,POUGHKEEPSIE,NY,12601,2000,-73.919963,41.701402
Dutchess,130059,Store,JAC,ADAMS FAIRACRE FARMS INC,ADAMS FAIRACRE FARMS,765,DUTCHESS TPKE,,,POUGHKEEPSIE,NY,12603,60000,-73.877664,41.699834
Dutchess,130985,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #3735,1925,SOUTH RD,,,POUGHKEEPSIE,NY,12601,11000,-73.91738,41.62094
Dutchess,740660,Store,JAC,BALDWIN SNACK SHOP INC,BALDWIN SNACK SHOP,1831,NEW HACKENSACK RD,,,POUGHKEEPSIE,NY,12603,2500,,
Dutchess,738884,Store,A,STAR NEWS STAND INC,STAR NEWS STAND,2001,SOUTH RD SUITE D119,,,POUGHKEEPSIE,NY,12601,800,-73.917119,41.626711
Dutchess,746025,Store,A,STIMPSONS HOUSE OF NUTRITION INC,STIMPSONS HOUSE OF NUTR,5,COLLEGEVIEW  AVE,,,POUGHKEEPSIE,NY,12603,2000,-73.899756,41.691777
Dutchess,748664,Store,JAC,SUSHILOVER INC,SUSHI@SHOPRITE,3532,NORTH RD,,,POUGHKEEPSIE,NY,12601,0,-73.933387,41.731669
Dutchess,711885,Store,A,OCEAN STATE JOB LOT OF NY 2012 LL,OCEAN STATE JOB LOT,3456,NORTH ST,,,POUGHKEEPSIE,NY,12601,32000,,
Dutchess,730683,Store,A,35 VASSAR RD SNACK SHOP INC,35 VASSAR RD SNACK SHOP,35,VASSAR ROAD,,,POUGHKEEPSIE,NY,12603,1000,-73.874916,41.653051
Dutchess,728730,Store,JAC,SHREE AND CORPORATION,SHREE AND CORPORATION,174,INNIS AVE,,,POUGHKEEPSIE,NY,12601,1200,-73.903229,41.708212
Dutchess,734410,Store,JAC,MAYA SNACKS & DELI LLC,MAYA SNACKS & DELI,469,MAIN STREET,,,POUGHKEEPSIE,NY,12601,600,-73.920675,41.701637
Dutchess,705778,Store,JAC,DNS PETROLEUM INC.,CAMPUS DELI,11,MARIST DRIVE,,,POUGHKEEPSIE,NY,12601,2000,-73.931059,41.718022
